ID,Name,Rating
1,Agile Web Development with Rails: A Pragmatic Guide,it was amazing
1,"The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy, #2)",it was amazing
1,Siddhartha,it was amazing
1,The Clock of the Long Now: Time and Responsibility,really liked it
1,"Ready Player One (Ready Player One, #1)",really liked it
1,"The Hunger Games (The Hunger Games, #1)",it was amazing
1,"The Clue in the Embers (Hardy Boys, #35)",it was amazing
1,The Authoritative Calvin and Hobbes: A Calvin and Hobbes Treasury,it was amazing
1,"The Clue of the Broken Blade (Hardy Boys, #21)",it was amazing
1,"The Clue of the Hissing Serpent (Hardy Boys, #53)",it was amazing
1,"The Clue of the Screeching Owl (Hardy Boys, #41)",it was amazing
1,"The Return of the Indian (The Indian in the Cupboard, #2)",it was amazing
1,The Name of the Rose,liked it
1,"Blue Mars (Mars Trilogy, #3)",liked it
1,Give and Take: A Revolutionary Approach to Success,it was amazing
1,Mindset: The New Psychology Of Success,really liked it
1,Bad Blood: Secrets and Lies in a Silicon Valley Startup,really liked it
1,"Dark Apprentice (Star Wars: The Jedi Academy Trilogy, #2)",liked it
1,A Short History of Nearly Everything,it was amazing
1,"The Mystery of the Spiral Bridge (Hardy Boys, #45)",it was amazing
1,"The Collapsing Empire (The Interdependency, #1)",really liked it
1,"Showdown at Centerpoint (Star Wars: The Corellian Trilogy, #3)",liked it
1,"The Mysterious Caravan (Hardy Boys, #54)",it was amazing
1,"Angels & Demons (Robert Langdon, #1)",really liked it
1,"The Return of the King (The Lord of the Rings, #3)",it was amazing
1,"The Girl with the Dragon Tattoo (Millennium, #1)",it was amazing
1,"The Murder on the Links (Hercule Poirot, #2)",liked it
1,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",it was amazing
1,"Thunderball (James Bond, #9)",really liked it
1,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,really liked it
